hugo_symbol,ensembl_gene_id_version,ANNOT
RAF1,ENSG00000132155,ONCO
RAP1GDS1,ENSG00000138698,ONCO
RARA,ENSG00000131759,ONCO
RET,ENSG00000165731,ONCO
ROS1,ENSG00000047936,ONCO
RSPO3,ENSG00000146374,ONCO
SET,ENSG00000119335,ONCO
SETBP1,ENSG00000152217,ONCO
SH3GL1,ENSG00000141985,ONCO
SND1,ENSG00000197157,ONCO
SRSF3,ENSG00000112081,ONCO
SSX1,ENSG00000126752,ONCO
SSX2,ENSG00000241476,ONCO
SSX4,ENSG00000268009,ONCO
STAT6,ENSG00000166888,ONCO
STIL,ENSG00000123473,ONCO
SYK,ENSG00000165025,ONCO
TAF15,ENSG00000270647,ONCO
TAF15,ENSG00000276833,ONCO
TAL1,ENSG00000162367,ONCO
TAL2,ENSG00000186051,ONCO
TCF7L2,ENSG00000148737,ONCO
TCL1A,ENSG00000100721,ONCO
TEC,ENSG00000135605,ONCO
TFE3,ENSG00000068323,ONCO
TFEB,ENSG00000112561,ONCO
TLX1,ENSG00000107807,ONCO
TLX3,ENSG00000164438,ONCO
TNFRSF17,ENSG00000048462,ONCO
TRIM27,ENSG00000233948,ONCO
TRIM27,ENSG00000234495,ONCO
TRIM27,ENSG00000237071,ONCO
TRIM27,ENSG00000215641,ONCO
TRIM27,ENSG00000229006,ONCO
TRIM27,ENSG00000237462,ONCO
TRIM27,ENSG00000204713,ONCO
USP6,ENSG00000129204,ONCO
WWTR1,ENSG00000018408,ONCO
ZNF521,ENSG00000198795,ONCO
APOBEC3B,ENSG00000179750,AMBI
ATP1A1,ENSG00000163399,AMBI
BCL9L,ENSG00000186174,AMBI
BCORL1,ENSG00000085185,AMBI
BMPR1A,ENSG00000107779,AMBI
BTK,ENSG00000010671,AMBI
CBLC,ENSG00000142273,AMBI
CDKN1A,ENSG00000124762,AMBI
CUX1,ENSG00000257923,AMBI
DAXX,ENSG00000231617,AMBI
DAXX,ENSG00000204209,AMBI
DAXX,ENSG00000227046,AMBI
DAXX,ENSG00000229396,AMBI
DAXX,ENSG00000206206,AMBI
DAXX,ENSG00000206279,AMBI
DDB2,ENSG00000134574,AMBI
EPAS1,ENSG00000116016,AMBI
ERBB4,ENSG00000178568,AMBI
EZH2,ENSG00000106462,AMBI
FES,ENSG00000182511,AMBI
FOXL2,ENSG00000183770,AMBI
GATA1,ENSG00000102145,AMBI
GATA3,ENSG00000107485,AMBI
GPC3,ENSG00000147257,AMBI
IRS4,ENSG00000133124,AMBI
JAK1,ENSG00000162434,AMBI
KDM6A,ENSG00000147050,AMBI
KLF4,ENSG00000136826,AMBI
KMT2D,ENSG00000167548,AMBI
LEF1,ENSG00000138795,AMBI
MAP2K4,ENSG00000065559,AMBI
MAP3K1,ENSG00000095015,AMBI
MAP3K13,ENSG00000073803,AMBI
NFE2L2,ENSG00000116044,AMBI
NKX2-1,ENSG00000136352,AMBI
NOTCH2,ENSG00000134250,AMBI
PABPC1,ENSG00000070756,AMBI
POLQ,ENSG00000051341,AMBI
PTK6,ENSG00000101213,AMBI
QKI,ENSG00000112531,AMBI
RAD21,ENSG00000164754,AMBI
RECQL4,ENSG00000160957,AMBI
RHOA,ENSG00000067560,AMBI
TBX3,ENSG00000135111,AMBI
TERT,ENSG00000164362,AMBI
TP63,ENSG00000073282,AMBI
ARNT,ENSG00000143437,AMBI
BCL11B,ENSG00000127152,AMBI
BIRC3,ENSG00000023445,AMBI
CBL,ENSG00000110395,AMBI
CIC,ENSG00000079432,AMBI
CREBBP,ENSG00000005339,AMBI
ELF4,ENSG00000102034,AMBI
ESR1,ENSG00000091831,AMBI
FOXO1,ENSG00000150907,AMBI
FOXO3,ENSG00000118689,AMBI
FOXO4,ENSG00000184481,AMBI
HOXA11,ENSG00000005073,AMBI
HOXA9,ENSG00000078399,AMBI
IKZF3,ENSG00000161405,AMBI
IRF4,ENSG00000137265,AMBI
MALAT1,ENSG00000251562,AMBI
MRTFA,ENSG00000196588,AMBI
NFKB2,ENSG00000077150,AMBI
NOTCH1,ENSG00000148400,AMBI
NTRK1,ENSG00000198400,AMBI
PAX5,ENSG00000196092,AMBI
PRKAR1A,ENSG00000108946,AMBI
RUNX1,ENSG00000159216,AMBI
RUNX1T1,ENSG00000079102,AMBI
STAT5B,ENSG00000173757,AMBI
SUZ12,ENSG00000178691,AMBI
TBL1XR1,ENSG00000177565,AMBI
TCF3,ENSG00000071564,AMBI
TET1,ENSG00000138336,AMBI
TP53,ENSG00000141510,AMBI
TRIM24,ENSG00000122779,AMBI
WT1,ENSG00000184937,AMBI
ACVR1B,ENSG00000135503,TSG
ACVR2A,ENSG00000121989,TSG
AMER1,ENSG00000184675,TSG
APC,ENSG00000134982,TSG
ARHGAP35,ENSG00000160007,TSG
ARHGEF10,ENSG00000104728,TSG
ARHGEF10,ENSG00000274726,TSG
ARHGEF10L,ENSG00000074964,TSG
ARID1B,ENSG00000049618,TSG
ARID2,ENSG00000189079,TSG
ASXL1,ENSG00000171456,TSG
ASXL2,ENSG00000143970,TSG
ATM,ENSG00000149311,TSG
ATP2B3,ENSG00000067842,TSG
ATR,ENSG00000175054,TSG
ATRX,ENSG00000085224,TSG
AXIN1,ENSG00000103126,TSG
AXIN2,ENSG00000168646,TSG
B2M,ENSG00000166710,TSG
B2M,ENSG00000273686,TSG
BAP1,ENSG00000163930,TSG
BARD1,ENSG00000138376,TSG
BAX,ENSG00000087088,TSG
BAZ1A,ENSG00000198604,TSG
BLM,ENSG00000197299,TSG
BRCA1,ENSG00000012048,TSG
BRCA2,ENSG00000139618,TSG
BRIP1,ENSG00000136492,TSG
BTG2,ENSG00000159388,TSG
BUB1B,ENSG00000156970,TSG
CARS,ENSG00000110619,TSG
CASP3,ENSG00000164305,TSG
CASP8,ENSG00000064012,TSG
CASP9,ENSG00000132906,TSG
CBLB,ENSG00000114423,TSG
CCNC,ENSG00000112237,TSG
CDK12,ENSG00000167258,TSG
CDKN1B,ENSG00000111276,TSG
CDKN2A,ENSG00000147889,TSG
CDKN2C,ENSG00000123080,TSG
CEBPA,ENSG00000245848,TSG
CHD2,ENSG00000173575,TSG
CHEK2,ENSG00000183765,TSG
CNOT3,ENSG00000276082,TSG
CNOT3,ENSG00000273943,TSG
CNOT3,ENSG00000277615,TSG
CNOT3,ENSG00000277114,TSG
CNOT3,ENSG00000274941,TSG
CNOT3,ENSG00000277600,TSG
CNOT3,ENSG00000088038,TSG
CNOT3,ENSG00000275979,TSG
CNOT3,ENSG00000274176,TSG
CNOT3,ENSG00000274616,TSG
CNTNAP2,ENSG00000278728,TSG
CNTNAP2,ENSG00000174469,TSG
CPEB3,ENSG00000107864,TSG
CSMD3,ENSG00000164796,TSG
